WeekNo,WeekDate,WeekDay,Month,Year,Quarterly,QYear,Year_01
110,2/10/2019,1,2,2019,q1,q1 2019,2019 YTD
111,2/17/2019,1,2,2019,q1,q1 2019,2019 YTD
112,2/24/2019,1,2,2019,q1,q1 2019,2019 YTD
113,3/3/2019,1,3,2019,q1,q1 2019,2019 YTD
114,3/10/2019,1,3,2019,q1,q1 2019,2019 YTD
115,3/17/2019,1,3,2019,q1,q1 2019,2019 YTD
116,3/24/2019,1,3,2019,q1,q1 2019,2019 YTD
117,3/31/2019,1,3,2019,q1,q1 2019,2019 YTD
118,4/7/2019,1,4,2019,q2,q2 2019,2019 YTD
119,4/14/2019,1,4,2019,q2,q2 2019,2019 YTD
120,4/21/2019,1,4,2019,q2,q2 2019,2019 YTD
121,4/28/2019,1,4,2019,q2,q2 2019,2019 YTD
122,5/5/2019,1,5,2019,q2,q2 2019,2019 YTD
123,5/12/2019,1,5,2019,q2,q2 2019,2019 YTD
124,5/19/2019,1,5,2019,q2,q2 2019,2019 YTD
125,5/26/2019,1,5,2019,q2,q2 2019,2019 YTD
,,,,,,,
,,,,,,,
