NATIONAL,NAT_CODE,MARKET,MKT_CODE,DMA_NAME,DMA_CODE,STORE_NO,STORE_CODE
TOTAL,TOTUS,EMERGING,MEMER,BATON ROUGE,DBAT01,311,SBA0311
TOTAL,TOTUS,EMERGING,MEMER,BATON ROUGE,DBAT01,459,SBA0459
TOTAL,TOTUS,EMERGING,MEMER,BATON ROUGE,DBAT01,512,SBA0512
TOTAL,TOTUS,EMERGING,MEMER,BATON ROUGE,DBAT01,539,SBA0539
TOTAL,TOTUS,EMERGING,MEMER,BATON ROUGE,DBAT01,888,SBA0888
TOTAL,TOTUS,EMERGING,MEMER,BATON ROUGE,DBAT01,1358,SBA1358
TOTAL,TOTUS,EMERGING,MEMER,BEAUMONT-PORT ARTHUR,DBEA01,614,SBE0614
TOTAL,TOTUS,EMERGING,MEMER,BEAUMONT-PORT ARTHUR,DBEA01,1173,SBE1173
TOTAL,TOTUS,EMERGING,MEMER,BILOXI-GULFPORT,DBIL01,118,SBI0118
TOTAL,TOTUS,EMERGING,MEMER,BIRMINGHAM (ANN AND TUSC),DBIR01,18,SBI0018
TOTAL,TOTUS,EMERGING,MEMER,BIRMINGHAM (ANN AND TUSC),DBIR01,1506,SBI1506
TOTAL,TOTUS,EMERGING,MEMER,BOISE,DBOI01,1018,SBO1018
TOTAL,TOTUS,EMERGING,MEMER,BOISE,DBOI01,1093,SBO1093
TOTAL,TOTUS,EMERGING,MEMER,BOSTON (MANCHESTER),DBOS01,1185,SBO1185
TOTAL,TOTUS,EMERGING,MEMER,BOSTON (MANCHESTER),DBOS01,1233,SBO1233
TOTAL,TOTUS,EMERGING,MEMER,BOSTON (MANCHESTER),DBOS01,1251,SBO1251
TOTAL,TOTUS,EMERGING,MEMER,BOSTON (MANCHESTER),DBOS01,1303,SBO1303
TOTAL,TOTUS,EMERGING,MEMER,BOSTON (MANCHESTER),DBOS01,1371,SBO1371
TOTAL,TOTUS,EMERGING,MEMER,BOSTON (MANCHESTER),DBOS01,1429,SBO1429
TOTAL,TOTUS,EMERGING,MEMER,BOSTON (MANCHESTER),DBOS01,1459,SBO1459
TOTAL,TOTUS,EMERGING,MEMER,BOSTON (MANCHESTER),DBOS01,1513,SBO1513
TOTAL,TOTUS,EMERGING,MEMER,BOWLING GREEN,DBOW01,1082,SBO1082
TOTAL,TOTUS,EMERGING,MEMER,CEDAR RAPIDS-WTRLO-IWC&DUB,DCED01,1020,SCE1020
TOTAL,TOTUS,EMERGING,MEMER,CEDAR RAPIDS-WTRLO-IWC&DUB,DCED01,1067,SCE1067
TOTAL,TOTUS,EMERGING,MEMER,CHAMPAIGN&SPRNGFLD-DECATUR,DCHA01,39,SCH0039
TOTAL,TOTUS,EMERGING,MEMER,CHAMPAIGN&SPRNGFLD-DECATUR,DCHA01,653,SCH0653
TOTAL,TOTUS,EMERGING,MEMER,CHAMPAIGN&SPRNGFLD-DECATUR,DCHA01,1351,SCH1351
TOTAL,TOTUS,EMERGING,MEMER,"CHARLESTON, SC",DCHA01,617,SCH0617
TOTAL,TOTUS,EMERGING,MEMER,"CHARLESTON, SC",DCHA01,1367,SCH1367
TOTAL,TOTUS,EMERGING,MEMER,CHARLOTTE,DCHA01,712,SCH0712
TOTAL,TOTUS,EMERGING,MEMER,CHARLOTTE,DCHA01,1110,SCH1110
TOTAL,TOTUS,EMERGING,MEMER,CHARLOTTE,DCHA01,1394,SCH1394
TOTAL,TOTUS,EMERGING,MEMER,CHARLOTTE,DCHA01,1397,SCH1397
TOTAL,TOTUS,EMERGING,MEMER,CHARLOTTE,DCHA01,1475,SCH1475
TOTAL,TOTUS,EMERGING,MEMER,CHARLOTTE,DCHA01,1499,SCH1499
TOTAL,TOTUS,DEVELOPING,MDEVL,CHICAGO,DCHI01,57,SCH0057
TOTAL,TOTUS,DEVELOPING,MDEVL,CHICAGO,DCHI01,273,SCH0273
TOTAL,TOTUS,DEVELOPING,MDEVL,CHICAGO,DCHI01,300,SCH0300
TOTAL,TOTUS,DEVELOPING,MDEVL,CHICAGO,DCHI01,376,SCH0376
TOTAL,TOTUS,DEVELOPING,MDEVL,CHICAGO,DCHI01,399,SCH0399
TOTAL,TOTUS,DEVELOPING,MDEVL,CHICAGO,DCHI01,406,SCH0406
TOTAL,TOTUS,DEVELOPING,MDEVL,CHICAGO,DCHI01,437,SCH0437
TOTAL,TOTUS,DEVELOPING,MDEVL,CHICAGO,DCHI01,463,SCH0463
TOTAL,TOTUS,DEVELOPING,MDEVL,CHICAGO,DCHI01,520,SCH0520
TOTAL,TOTUS,DEVELOPING,MDEVL,CHICAGO,DCHI01,523,SCH0523
TOTAL,TOTUS,DEVELOPING,MDEVL,CHICAGO,DCHI01,537,SCH0537
TOTAL,TOTUS,DEVELOPING,MDEVL,CHICAGO,DCHI01,551,SCH0551
TOTAL,TOTUS,DEVELOPING,MDEVL,CHICAGO,DCHI01,552,SCH0552
TOTAL,TOTUS,DEVELOPING,MDEVL,CHICAGO,DCHI01,557,SCH0557
TOTAL,TOTUS,DEVELOPING,MDEVL,CHICAGO,DCHI01,587,SCH0587
TOTAL,TOTUS,DEVELOPING,MDEVL,CHICAGO,DCHI01,630,SCH0630
TOTAL,TOTUS,DEVELOPING,MDEVL,CHICAGO,DCHI01,641,SCH0641
TOTAL,TOTUS,DEVELOPING,MDEVL,CHICAGO,DCHI01,651,SCH0651
TOTAL,TOTUS,DEVELOPING,MDEVL,CHICAGO,DCHI01,652,SCH0652
TOTAL,TOTUS,DEVELOPING,MDEVL,CHICAGO,DCHI01,656,SCH0656
TOTAL,TOTUS,DEVELOPING,MDEVL,CHICAGO,DCHI01,675,SCH0675
TOTAL,TOTUS,DEVELOPING,MDEVL,CHICAGO,DCHI01,688,SCH0688
TOTAL,TOTUS,DEVELOPING,MDEVL,CHICAGO,DCHI01,694,SCH0694
TOTAL,TOTUS,DEVELOPING,MDEVL,CHICAGO,DCHI01,716,SCH0716
TOTAL,TOTUS,DEVELOPING,MDEVL,CHICAGO,DCHI01,726,SCH0726
TOTAL,TOTUS,DEVELOPING,MDEVL,CHICAGO,DCHI01,729,SCH0729
TOTAL,TOTUS,DEVELOPING,MDEVL,CHICAGO,DCHI01,745,SCH0745
TOTAL,TOTUS,DEVELOPING,MDEVL,CHICAGO,DCHI01,746,SCH0746
TOTAL,TOTUS,DEVELOPING,MDEVL,CHICAGO,DCHI01,757,SCH0757
TOTAL,TOTUS,DEVELOPING,MDEVL,CHICAGO,DCHI01,768,SCH0768
TOTAL,TOTUS,DEVELOPING,MDEVL,CHICAGO,DCHI01,774,SCH0774
TOTAL,TOTUS,DEVELOPING,MDEVL,CHICAGO,DCHI01,781,SCH0781
TOTAL,TOTUS,DEVELOPING,MDEVL,CHICAGO,DCHI01,788,SCH0788
TOTAL,TOTUS,DEVELOPING,MDEVL,CHICAGO,DCHI01,863,SCH0863
TOTAL,TOTUS,DEVELOPING,MDEVL,CHICAGO,DCHI01,864,SCH0864
TOTAL,TOTUS,DEVELOPING,MDEVL,CHICAGO,DCHI01,889,SCH0889
TOTAL,TOTUS,DEVELOPING,MDEVL,CHICAGO,DCHI01,894,SCH0894
TOTAL,TOTUS,DEVELOPING,MDEVL,CHICAGO,DCHI01,896,SCH0896
TOTAL,TOTUS,DEVELOPING,MDEVL,CHICAGO,DCHI01,1003,SCH1003
TOTAL,TOTUS,DEVELOPING,MDEVL,CHICAGO,DCHI01,1006,SCH1006
TOTAL,TOTUS,DEVELOPING,MDEVL,CHICAGO,DCHI01,1075,SCH1075
TOTAL,TOTUS,DEVELOPING,MDEVL,CHICAGO,DCHI01,1076,SCH1076
TOTAL,TOTUS,DEVELOPING,MDEVL,CHICAGO,DCHI01,1125,SCH1125
TOTAL,TOTUS,DEVELOPING,MDEVL,CHICAGO,DCHI01,1134,SCH1134
TOTAL,TOTUS,DEVELOPING,MDEVL,CHICAGO,DCHI01,1174,SCH1174
TOTAL,TOTUS,DEVELOPING,MDEVL,CHICAGO,DCHI01,1197,SCH1197
TOTAL,TOTUS,DEVELOPING,MDEVL,CHICAGO,DCHI01,1215,SCH1215
TOTAL,TOTUS,DEVELOPING,MDEVL,CHICAGO,DCHI01,1240,SCH1240
TOTAL,TOTUS,DEVELOPING,MDEVL,CHICAGO,DCHI01,1262,SCH1262
TOTAL,TOTUS,DEVELOPING,MDEVL,CHICAGO,DCHI01,1278,SCH1278
TOTAL,TOTUS,DEVELOPING,MDEVL,CHICAGO,DCHI01,1296,SCH1296
TOTAL,TOTUS,DEVELOPING,MDEVL,CHICAGO,DCHI01,1299,SCH1299
TOTAL,TOTUS,DEVELOPING,MDEVL,CHICAGO,DCHI01,1305,SCH1305
TOTAL,TOTUS,DEVELOPING,MDEVL,CHICAGO,DCHI01,1341,SCH1341
TOTAL,TOTUS,DEVELOPING,MDEVL,CHICAGO,DCHI01,1353,SCH1353
TOTAL,TOTUS,DEVELOPING,MDEVL,CHICAGO,DCHI01,1365,SCH1365
TOTAL,TOTUS,DEVELOPING,MDEVL,CHICAGO,DCHI01,1374,SCH1374
TOTAL,TOTUS,DEVELOPING,MDEVL,CHICAGO,DCHI01,1391,SCH1391
TOTAL,TOTUS,DEVELOPING,MDEVL,CHICAGO,DCHI01,1444,SCH1444
TOTAL,TOTUS,DEVELOPING,MDEVL,CHICAGO,DCHI01,1457,SCH1457
TOTAL,TOTUS,DEVELOPING,MDEVL,CHICAGO,DCHI01,1460,SCH1460
TOTAL,TOTUS,DEVELOPING,MDEVL,CHICAGO,DCHI01,1461,SCH1461
TOTAL,TOTUS,DEVELOPING,MDEVL,CHICAGO,DCHI01,1482,SCH1482
TOTAL,TOTUS,DEVELOPING,MDEVL,CHICAGO,DCHI01,1501,SCH1501
TOTAL,TOTUS,DEVELOPING,MDEVL,CHICAGO,DCHI01,1573,SCH1573
TOTAL,TOTUS,EMERGING,MEMER,CHICO-REDDING,DCHI01,699,SCH0699
TOTAL,TOTUS,EMERGING,MEMER,CINCINNATI,DCIN01,833,SCI0833
TOTAL,TOTUS,EMERGING,MEMER,CINCINNATI,DCIN01,1187,SCI1187
TOTAL,TOTUS,EMERGING,MEMER,CINCINNATI,DCIN01,1352,SCI1352
TOTAL,TOTUS,EMERGING,MEMER,CINCINNATI,DCIN01,1502,SCI1502
TOTAL,TOTUS,EMERGING,MEMER,CINCINNATI,DCIN01,1577,SCI1577
